id,size,weight,departure_time,type
TLLU5076374,40,10.6,2026-04-19T08:00:00,import
MSCU6210662,40,23.26,2026-04-22T08:00:00,export
TLLU7285460,40,9.52,2026-04-27T18:00:00,import
TCKU6662196,20,18.61,2026-04-20T16:00:00,import
TLLU6722407,20,16.85,2026-04-28T18:00:00,import
TLLU3713836,20,16.09,2026-04-19T12:00:00,export
MSCU2782648,40,18.55,2026-04-22T14:00:00,import
MSCU4898807,40,23.46,2026-04-12T06:00:00,export
CMAU6343897,20,19.6,2026-04-15T18:00:00,import
MSCU3747997,20,16.16,2026-04-22T22:00:00,import
MSCU7440125,20,8.15,2026-04-18T12:00:00,export
MSCU2032818,40,11.39,2026-04-17T18:00:00,transshipment
MRKU9253054,40,24.75,2026-04-26T22:00:00,import
MRKU2696918,40,15.82,2026-04-19T16:00:00,export
MRKU4578825,40,12.92,2026-04-17T20:00:00,import
TCKU3221660,40,17.34,2026-04-09T08:00:00,export
TLLU1213978,40,27.12,2026-04-21T16:00:00,import
TLLU6502342,20,6.67,2026-04-18T08:00:00,transshipment
TCKU4822828,40,8.17,2026-04-13T10:00:00,export
TCKU7882464,40,14.08,2026-04-17T14:00:00,export
MSCU4402923,20,17.48,2026-04-14T14:00:00,import
MSCU8026917,40,9.15,2026-04-13T06:00:00,import
TCKU4813995,40,12.76,2026-04-28T18:00:00,import
MSCU7314689,20,11.37,2026-04-25T16:00:00,transshipment
CMAU1327311,40,24.97,2026-04-14T16:00:00,export
TCKU2608726,20,23.92,2026-04-21T06:00:00,import
MRKU9712531,40,27.88,2026-04-21T14:00:00,import
TCKU4263820,20,6.53,2026-04-09T22:00:00,transshipment
MRKU4646175,40,5.85,2026-04-16T14:00:00,export
TLLU7744933,40,25.19,2026-04-28T16:00:00,import
MRKU5239377,20,11.56,2026-04-18T12:00:00,export
MSCU9056966,40,9.5,2026-04-26T08:00:00,transshipment
CMAU1882776,20,18.07,2026-04-28T18:00:00,export
MSCU7609145,20,16.8,2026-04-18T16:00:00,export
TLLU7752341,40,20.11,2026-04-19T16:00:00,import
MSCU4386694,20,14.64,2026-04-28T06:00:00,import
MRKU5153719,40,16.75,2026-04-28T12:00:00,export
TCKU2144398,20,21.06,2026-04-25T12:00:00,export
CMAU0411897,20,8.86,2026-04-22T14:00:00,import
CMAU1181660,40,10.09,2026-04-11T16:00:00,export
MSCU9673412,20,11.45,2026-04-18T08:00:00,transshipment
TLLU7338105,40,13,2026-04-12T14:00:00,import
CMAU3643880,20,22.65,2026-04-18T08:00:00,export
TCKU1338372,20,12.39,2026-04-14T20:00:00,transshipment
CMAU8336794,20,16.08,2026-04-14T18:00:00,transshipment
MRKU1502532,40,9.57,2026-04-27T14:00:00,import
TLLU9321037,40,8.46,2026-04-16T08:00:00,export
TCKU0285812,20,25.81,2026-04-20T06:00:00,import
MSCU3541910,20,9.92,2026-04-24T14:00:00,import
TCKU0239696,40,18,2026-04-27T10:00:00,transshipment
MRKU1424234,40,17.17,2026-04-25T16:00:00,import
MRKU6835093,40,21.24,2026-04-21T18:00:00,export
TCKU2759277,40,22.19,2026-04-12T14:00:00,export
TCKU3929042,20,9.98,2026-04-11T20:00:00,import
MSCU3856823,20,26.46,2026-04-16T14:00:00,import
TCKU1409986,20,5.1,2026-04-27T08:00:00,export
MRKU8315547,40,14.05,2026-04-25T06:00:00,import
MRKU7588644,40,10.91,2026-04-13T12:00:00,export
MSCU4132752,40,18.18,2026-04-16T08:00:00,import
MSCU4251371,40,21.61,2026-04-21T16:00:00,import
TLLU4066670,40,25.83,2026-04-17T06:00:00,import
MSCU4635890,20,12.63,2026-04-27T14:00:00,import
TCKU6299472,40,20.69,2026-04-29T08:00:00,export
TLLU8755235,20,22.91,2026-04-28T22:00:00,export
MRKU8311442,20,11.12,2026-04-19T16:00:00,export
CMAU0824345,20,9.02,2026-04-19T12:00:00,import
MSCU6005681,20,6.56,2026-04-12T20:00:00,export
CMAU9759183,40,13.95,2026-04-14T08:00:00,import
TCKU1764776,40,15.35,2026-04-25T16:00:00,export
MRKU4434456,40,23.37,2026-04-23T18:00:00,import
MRKU2973122,40,19.23,2026-04-25T10:00:00,import
MRKU1979174,40,20.56,2026-04-15T08:00:00,import
TLLU9157726,20,19.95,2026-04-17T10:00:00,import
MRKU9529686,40,24.57,2026-04-28T20:00:00,import
TLLU8567973,40,22.63,2026-04-11T12:00:00,import
TCKU9142798,40,9.75,2026-04-22T22:00:00,import
TLLU1683246,40,25.66,2026-04-15T18:00:00,import
CMAU0182176,40,20.33,2026-04-12T06:00:00,export
MRKU0782589,20,19.01,2026-04-16T22:00:00,import
MSCU9426074,20,5.28,2026-04-14T08:00:00,export
TLLU7716066,40,22.79,2026-04-15T22:00:00,import
TCKU0693407,40,18.22,2026-04-10T08:00:00,import
MSCU3825345,40,10.09,2026-04-26T14:00:00,import
MRKU4046502,40,9.95,2026-04-22T18:00:00,import
MRKU0374552,20,17.96,2026-04-13T08:00:00,transshipment
TCKU6956860,40,23.43,2026-04-11T16:00:00,import
MSCU8223528,40,19.76,2026-04-28T10:00:00,export
MRKU8700840,40,17.46,2026-04-10T12:00:00,transshipment
TLLU2229347,40,23.22,2026-04-14T14:00:00,import
MSCU2305455,40,18.83,2026-04-21T10:00:00,export
MSCU6042505,40,20.36,2026-04-11T14:00:00,import
CMAU2609268,40,8.57,2026-04-28T14:00:00,export
MSCU7471791,40,20.49,2026-04-28T20:00:00,import
MSCU7121758,40,13.14,2026-04-15T10:00:00,export
TCKU9315375,20,19.11,2026-04-17T20:00:00,import
MRKU4503451,40,12.08,2026-04-15T20:00:00,export
TLLU0899466,40,29.04,2026-04-27T20:00:00,transshipment
MRKU5831445,20,9.25,2026-04-27T08:00:00,export
MSCU8585015,20,9.04,2026-04-15T22:00:00,import
CMAU6126454,20,15.31,2026-04-12T10:00:00,transshipment
TLLU4074340,40,20.9,2026-04-18T10:00:00,transshipment
MRKU4251065,40,15.03,2026-04-22T14:00:00,import
TLLU2466934,40,14.93,2026-04-27T14:00:00,import
MRKU0384272,20,14.75,2026-04-10T14:00:00,import
MSCU2016688,40,11.18,2026-04-26T16:00:00,transshipment
TCKU4590374,20,18.71,2026-04-27T10:00:00,import
MRKU3202505,40,5.94,2026-04-21T06:00:00,export
TLLU3696769,40,27.73,2026-04-26T16:00:00,import
TLLU1183581,40,23.9,2026-04-17T20:00:00,transshipment
MRKU2444360,40,18.37,2026-04-28T22:00:00,import
TCKU2302675,40,13.62,2026-04-25T06:00:00,transshipment
TCKU5412086,40,7.04,2026-04-22T06:00:00,export
CMAU7817624,40,17.83,2026-04-23T12:00:00,import
TCKU6867279,40,20.51,2026-04-24T06:00:00,export
MSCU4920629,20,21.19,2026-04-23T08:00:00,import
TCKU9007166,40,17.25,2026-04-18T16:00:00,export
MSCU5619677,40,13.56,2026-04-28T20:00:00,export
MRKU7036139,40,16.06,2026-04-27T22:00:00,import
CMAU0386866,20,5.09,2026-04-28T08:00:00,export
TCKU4390407,40,23.33,2026-04-09T16:00:00,import
MSCU6052144,20,17.69,2026-04-26T08:00:00,transshipment
TCKU3368514,20,22.61,2026-04-26T12:00:00,export
TCKU3005541,40,16.02,2026-04-27T10:00:00,import
TLLU2562437,20,19.01,2026-04-16T12:00:00,import
TCKU8895367,20,21.14,2026-04-13T12:00:00,import
CMAU0659215,40,26.54,2026-04-11T06:00:00,import
TCKU2064942,20,22.67,2026-04-26T22:00:00,import
CMAU7098001,20,12.02,2026-04-15T16:00:00,import
TCKU4146098,40,8.11,2026-04-28T10:00:00,transshipment
TLLU8993251,20,14.01,2026-04-14T14:00:00,export
MSCU1937397,40,19.9,2026-04-18T12:00:00,import
TLLU4647340,20,16.12,2026-04-24T20:00:00,export
TCKU5673538,20,26.4,2026-04-27T14:00:00,transshipment
CMAU4284674,20,11.71,2026-04-11T06:00:00,export
TCKU6112702,20,13.62,2026-04-24T22:00:00,export
TLLU6878051,20,8.09,2026-04-19T06:00:00,transshipment
MSCU6308220,20,24.34,2026-04-10T14:00:00,import
MRKU1722459,40,5.77,2026-04-14T10:00:00,export
TCKU1602356,40,23.78,2026-04-13T08:00:00,transshipment
TLLU8299496,40,21.47,2026-04-26T18:00:00,transshipment
TCKU4751025,40,22.08,2026-04-26T16:00:00,export
CMAU4989517,40,22.78,2026-04-13T10:00:00,export
MRKU3602755,40,22.29,2026-04-28T16:00:00,export
CMAU3036669,40,27.67,2026-04-13T12:00:00,import
MRKU3781646,40,10.23,2026-04-20T08:00:00,export
MSCU1791077,20,9.86,2026-04-26T22:00:00,import
TCKU3755188,20,16.23,2026-04-15T08:00:00,export
MSCU8998167,20,24.59,2026-04-16T08:00:00,export
CMAU1706806,20,10.4,2026-04-19T18:00:00,import
TCKU4992858,20,20.09,2026-04-21T20:00:00,export
TCKU6249698,20,29.84,2026-04-23T22:00:00,transshipment
MSCU2887836,20,25.13,2026-04-16T14:00:00,import
TLLU4980020,40,9.98,2026-04-28T20:00:00,transshipment
CMAU3640544,40,24.09,2026-04-21T16:00:00,import
TCKU2013251,40,17.5,2026-04-24T06:00:00,import
MRKU3192550,40,16.56,2026-04-19T16:00:00,export
MRKU0331029,40,17.82,2026-04-16T20:00:00,transshipment
MSCU3759040,40,27.43,2026-04-28T10:00:00,import
MSCU7955827,40,7.72,2026-04-27T20:00:00,transshipment
CMAU5405031,40,22.35,2026-04-23T20:00:00,import
CMAU8808450,20,21.21,2026-04-16T06:00:00,export
TLLU3816086,40,12.06,2026-04-17T12:00:00,export
CMAU4159711,20,29.11,2026-04-24T08:00:00,transshipment
MSCU9076605,40,11.49,2026-04-27T16:00:00,export
CMAU5178531,40,11.59,2026-04-11T10:00:00,transshipment
MRKU2419381,40,26.29,2026-04-13T14:00:00,import
MSCU8115223,40,26.39,2026-04-17T18:00:00,transshipment
